date,goes_proton_event
1997/1,0
1997/2,0
1997/3,0
1997/4,0
1997/5,0
1997/6,0
1997/7,0
1997/8,0
1997/9,0
1997/10,0
1997/11,2
1997/12,0
1998/1,0
1998/2,0
1998/3,0
1998/4,1
1998/5,2
1998/6,0
1998/7,0
1998/8,1
1998/9,2
1998/10,0
1998/11,2
1998/12,0
1999/1,1
1999/2,0
1999/3,0
1999/4,1
1999/5,1
1999/6,2
1999/7,0
1999/8,0
1999/9,0
1999/10,0
1999/11,0
1999/12,0
2000/1,0
2000/2,1
2000/3,0
2000/4,1
2000/5,0
2000/6,2
2000/7,3
2000/8,1
2000/9,1
2000/10,2
2000/11,2
2000/12,0
2001/1,1
2001/2,0
2001/3,1
2001/4,5
2001/5,1
2001/6,1
2001/7,0
2001/8,2
2001/9,2
2001/10,3
2001/11,3
2001/12,3
2002/1,2
2002/2,1
2002/3,4
2002/4,2
2002/5,1
2002/6,0
2002/7,4
2002/8,3
2002/9,1
2002/10,0
2002/11,1
2002/12,0
2003/1,0
2003/2,0
2003/3,0
2003/4,0
2003/5,2
2003/6,1
2003/7,0
2003/8,0
2003/9,0
2003/10,2
2003/11,3
2003/12,1
2004/1,0
2004/2,0
2004/3,0
2004/4,1
2004/5,0
2004/6,0
2004/7,1
2004/8,0
2004/9,1
2004/10,0
2004/11,2
2004/12,0
2005/1,1
2005/2,0
2005/3,0
2005/4,0
2005/5,1
2005/6,1
2005/7,2
2005/8,1
2005/9,1
2005/10,0
2005/11,0
2005/12,0
2006/1,0
2006/2,0
2006/3,0
2006/4,0
2006/5,0
2006/6,0
2006/7,0
2006/8,0
2006/9,0
2006/10,0
2006/11,0
2006/12,2
2007/1,0
2007/2,0
2007/3,0
2007/4,0
2007/5,0
2007/6,0
2007/7,0
2007/8,0
2007/9,0
2007/10,0
2007/11,0
2007/12,0
2008/1,0
2008/2,0
2008/3,0
2008/4,0
2008/5,0
2008/6,0
2008/7,0
2008/8,0
2008/9,0
2008/10,0
2008/11,0
2008/12,0
2009/1,0
2009/2,0
2009/3,0
2009/4,0
2009/5,0
2009/6,0
2009/7,0
2009/8,0
2009/9,0
2009/10,0
2009/11,0
2009/12,0
