date,icme_earth_cycle23
1997/1,1
1997/2,1
1997/3,0
1997/4,2
1997/5,2
1997/6,2
1997/7,1
1997/8,2
1997/9,2
1997/10,4
1997/11,3
1997/12,2
1998/1,5
1998/2,3
1998/3,3
1998/4,1
1998/5,2
1998/6,4
1998/7,2
1998/8,7
1998/9,2
1998/10,2
1998/11,4
1998/12,1
1999/1,3
1999/2,4
1999/3,2
1999/4,2
1999/5,1
1999/6,2
1999/7,6
1999/8,4
1999/9,2
1999/10,1
1999/11,3
1999/12,3
2000/1,1
2000/2,4
2000/3,3
2000/4,3
2000/5,7
2000/6,7
2000/7,10
2000/8,2
2000/9,3
2000/10,4
2000/11,5
2000/12,2
2001/1,1
2001/2,0
2001/3,6
2001/4,8
2001/5,5
2001/6,2
2001/7,2
2001/8,4
2001/9,6
2001/10,8
2001/11,4
2001/12,2
2002/1,0
2002/2,1
2002/3,3
2002/4,3
2002/5,3
2002/6,0
2002/7,3
2002/8,4
2002/9,5
2002/10,1
2002/11,1
2002/12,2
2003/1,1
2003/2,2
2003/3,1
2003/4,0
2003/5,4
2003/6,2
2003/7,1
2003/8,3
2003/9,0
2003/10,7
2003/11,1
2003/12,0
2004/1,3
2004/2,1
2004/3,0
2004/4,3
2004/5,1
2004/6,0
2004/7,4
2004/8,2
2004/9,2
2004/10,0
2004/11,3
2004/12,2
2005/1,6
2005/2,3
2005/3,0
2005/4,0
2005/5,5
2005/6,3
2005/7,2
2005/8,4
2005/9,6
2005/10,1
2005/11,0
2005/12,1
2006/1,0
2006/2,1
2006/3,0
2006/4,2
2006/5,0
2006/6,0
2006/7,1
2006/8,2
2006/9,1
2006/10,0
2006/11,3
2006/12,3
2007/1,1
2007/2,0
2007/3,0
2007/4,0
2007/5,0
2007/6,0
2007/7,0
2007/8,0
2007/9,0
2007/10,0
2007/11,1
2007/12,0
2008/1,0
2008/2,0
2008/3,0
2008/4,0
2008/5,0
2008/6,0
2008/7,0
2008/8,0
2008/9,1
2008/10,0
2008/11,0
2008/12,2
2009/1,2
2009/2,0
2009/3,0
2009/4,0
2009/5,0
2009/6,2
2009/7,1
2009/8,0
2009/9,1
2009/10,1
2009/11,1
2009/12,2
